channel_id,origin_keyword,origin_method
UC--1OWz_T_iYy_WU44Fa4YQ,driving tour 4k,channel_search
UC-18Fy2s1dHtJEasaJ5CHHw,driving tour 4k,channel_search
UC-18to6zOZ_BkaNiMAz96bg,bike tour 4k,channel_search
UC-7-82vHiqup03K5DWEIKeQ,shopping mall walk,channel_search
UC-Br7knMDR1AZM1BG9BNqVA,driving tour 4k,channel_search
UC-ErPOT5yIoqQK5KcBljbDA,shopping mall walk,channel_search
UC-Mr7cFfi5FbBXzOe0GZZJw,driving tour 4k,channel_search
UC-PfqTfJD6V6GVOfMGTDXkA,driving tour 4k,channel_search
UC-RYqy-zCwjPOxzO1ZiuAqA,walking tour 4k,channel_search
UC-V5PX53uTTWtCD5h3lKCVw,bike tour 4k,channel_search
UC-XyD6qDwOr7-G0TblFUAKw,city walk 4k,channel_search
UC-ZZqrtIMlC8v1ttVimRWOA,walking tour 4k,channel_search
UC-amkFCP2XADMcBg0kfGUzg,shopping mall walk,channel_search
UC-c8WOyunyG6xLvUW2jtHBA,shopping mall walk,channel_search
UC-cjn4x6ooOC5Uri3F_Ji7Q,driving tour 4k,channel_search
UC-jaaFJidVkrTwYMcwG4CSQ,walking tour 4k,channel_search
UC-kzQ44ZN45LW283kytkLjQ,driving tour 4k,channel_search
UC-mErnxvrSqR-f_htUGEhaQ,shopping mall walk,video_search
UC-oWUzhxk8j6NVCeUrvhK9g,shopping mall walk,channel_search
UC-q6l5lxdrPlcThd31pUt_Q,driving tour 4k,channel_search
UC-uGMO1RAUfBS8p1u-bz5Uw,driving tour 4k,channel_search
UC-wT1-R7RM1Rfl46iI3HfkA,bike tour 4k,channel_search
UC-x05g43Mvz-_OLdgDscgBw,walking tour 4k,channel_search
UC-xribz4ZTZXgR6GGKvNluQ,shopping mall walk,video_search
UC-zhzVFuFgkGG8TxVU17t0w,shopping mall walk,channel_search
UC0-rPolvI7lHkwamwnnFI5A,bike tour 4k,channel_search
UC047RjOPbd65cOsaNyi1iyw,bike tour 4k,channel_search
UC05419BSx_vQtjf00E50iOA,driving tour 4k,channel_search
UC0FaHm-n4km9-g7jSYv5_zQ,bike tour 4k,channel_search
UC0H-Sa4Ua_wWGYMmc6ITpRg,driving tour 4k,channel_search
UC0J4LMoLDC3OnevXHsdtv8Q,bike tour 4k,channel_search
UC0JQ8gpV5K3RLq54VwkGoCg,city walk 4k,channel_search
UC0TqihOw3aHbHDi-EWBfFeA,walking tour 4k,video_search
UC0UoaCloXdYtkKZo3V3ULtg,walking tour 4k,channel_search
UC0ZCpLmyZzxHrRClVseGTrA,shopping mall walk,channel_search
UC0_qm_MniPLaw1zZKvrv9Cg,shopping mall walk,channel_search
UC0b8vOMYk5Dp_YbceazW0GA,bike tour 4k,video_search
UC0chSiUB8Cw5TpTabcG-iqQ,driving tour 4k,channel_search
UC0ed66tx2YOQ_a8IY4EWrWg,walking tour 4k,channel_search
UC0ekvz7UR5lKYwZLfTj-q5Q,walking tour 4k,channel_search
UC0t91-ZaD3w4w9ReS84JkNQ,shopping mall walk,channel_search
UC0wRQzweO59DvyykK1jMjnw,shopping mall walk,channel_search
UC0wsvGb8u0ZNBhgUhr_eTmw,bike tour 4k,channel_search
UC1-UALfhHReP4lfWHM856zA,shopping mall walk,channel_search
UC114L-lAyruVONwUpree6yg,walking tour 4k,channel_search
UC12FUHVhwpC5lMYsMPMbmyg,driving tour 4k,channel_search
UC141S-BD6y37Jolhmxyam6g,bike tour 4k,channel_search
UC17MRAYRzMyG4mLFA1gsIAQ,bike tour 4k,channel_search
UC1BXP1dXoBEFOq9Cg6rqJJg,bike tour 4k,channel_search
UC1D97AK6I3r9BhPEFPaCV2Q,driving tour 4k,channel_search
UC1FdRzxkPCik68ml497aN4A,bike tour 4k,channel_search
UC1K45ffJo8C_NWQPlJzoLew,walking tour 4k,channel_search
UC1KLGYyoFKEFHHHTwuqCoVA,driving tour 4k,channel_search
UC1Na24zFa6sgOxz9AkjSSuw,driving tour 4k,channel_search
UC1OrrutaLlURhdQfn0LL8lw,city walk 4k,channel_search
UC1QKMO9eEoYwjAonGVftTVA,bike tour 4k,channel_search
UC1R2msYJSbQN_SqvQlIvXfw,bike tour 4k,channel_search
UC1RJkv9IwNSl9RiCEuwB7UA,shopping mall walk,channel_search
UC1VUeelJnE6ZNXoaR5JZsCA,city walk 4k,channel_search
UC1XpRVQ7glZ7DubjmQbE7mg,driving tour 4k,channel_search
UC1atgAvQCTaNedwt8vwe9Pw,bike tour 4k,channel_search
UC1bVJUHInVm4-5DXu1P1BmQ,walking tour 4k,channel_search
UC1f-vri8xh1toSmpkZaXH9A,driving tour 4k,channel_search
UC1gmwH0KHVNXS36emgGIkYg,walking tour 4k,channel_search
UC1n-3uMNeLfMyO6TGPpY-MQ,shopping mall walk,channel_search
UC1nZCpM_OBhowfm5LmIv4Ag,shopping mall walk,channel_search
UC1sd1imhPbLpJeWRv6798UQ,driving tour 4k,channel_search
UC1tOi0DDVrPZmPULtNRSX7g,driving tour 4k,channel_search
UC1vLT7Bmk0ifseiJzVh1m-A,walking tour 4k,channel_search
UC1xjY5Ms_FG2vhARKJD15-g,shopping mall walk,channel_search
UC20vyRWEaC2GIS8DkmeRQaA,walking tour 4k,video_search
UC22f9KNvgclGRtUKx9pAGIg,shopping mall walk,channel_search
UC253B5TPxymiyM3gv9m6gQw,shopping mall walk,channel_search
UC2A9QmoQo7l1jvZnNUEkpiA,shopping mall walk,video_search
UC2Alm9dKXWmgQBrrlWct9fg,driving tour 4k,channel_search
UC2AnnZVbrXMiSvmgZDV9ukw,driving tour 4k,channel_search
UC2Cm8yEeE3X7-DqOCfUgKNA,driving tour 4k,channel_search
UC2Guv1p7AbmZ0MZbjvlD8QA,driving tour 4k,channel_search
UC2I2lml1P-v57uqF4i9R7aQ,walking tour 4k,channel_search
UC2OLhVCvrfYFRugOvm4NrsQ,driving tour 4k,channel_search
UC2S2O7Rt-93DIcUkxR0oUng,bike tour 4k,channel_search
UC2TXw5c5igfmgziar9O0pvw,driving tour 4k,channel_search
UC2UKFiRjbPhXyl5PBAVZoaw,walking tour 4k,channel_search
UC2ViPu8EVMP8Eo1Ob7yWEkg,shopping mall walk,channel_search
UC2aNp5lJhy4TcjeQV4O_QyQ,shopping mall walk,channel_search
UC2aYqBdRXzuiwA2pH6UrA6Q,walking tour 4k,channel_search
UC2d6qcUdNpS3DXDuq1ySOoQ,bike tour 4k,channel_search
UC2eswaR2jEw_J-ZqaMv0how,bike tour 4k,channel_search
UC2kZ30Rwz_c8_BUdeJfMIgQ,shopping mall walk,channel_search
UC2lso8Vdk-EHGzdb1mQO44A,shopping mall walk,channel_search
UC2no4yKi_CVai2mdk-nnFPw,walking tour 4k,channel_search
UC2ovtrc9Sy3vW30cZM75Ygw,shopping mall walk,channel_search
UC2s4RE3zutDyS0Ibq06S7Gw,driving tour 4k,channel_search
UC2sZE5f1RTAMBlJMJZPiSBA,bike tour 4k,channel_search
UC2s_yheS-U2tqdkvImHpTyQ,shopping mall walk,channel_search
UC2vZHGON0uBKWYoP4ub5jDA,shopping mall walk,channel_search
UC2yQT-a9LMOUkodQsVFB_vw,shopping mall walk,channel_search
UC2ynYmQBc4a-4zDvcXMm6Gg,shopping mall walk,channel_search
UC2zCZ249yYJ7NnnSp5NFEsg,walking tour 4k,channel_search
UC31JKXuXUqBBDlWcrq_VtDA,bike tour 4k,channel_search
UC32_UmqZlh5Xk51lnqxo1og,bike tour 4k,channel_search
UC34wpCgr3l9cG0RtFdTTS-Q,bike tour 4k,channel_search
UC38yDIJiK-43UcLjYs6_tpQ,shopping mall walk,channel_search
UC3EHJ8S9i4LV3g2h0NItyBQ,shopping mall walk,channel_search
UC3EZZuyV3lR2imvAsWSy6qQ,shopping mall walk,channel_search
UC3FTP56lp4fF8-pchd5N4ig,bike tour 4k,channel_search
UC3LG_89855YAiOHDPRu1rdg,walking tour 4k,channel_search
UC3S3Cu-jsEG37eo1wL492Gw,driving tour 4k,channel_search
UC3W71-jjOnM54hZ1nUDAptw,bike tour 4k,channel_search
UC3XrP1yEARz4_iFsmrdUfRA,driving tour 4k,channel_search
UC3Zlfgx6YBkxd1yMu06EJKQ,shopping mall walk,channel_search
UC3_RK3sN7pnxyx4jR-tgyfA,bike tour 4k,channel_search
UC3eJDlt6pdauS8d-_8guk-g,shopping mall walk,channel_search
UC3fyOMldmv_BuJHLPDG4pXw,shopping mall walk,channel_search
UC3pJs5urZdi8_AKDuLXCNTA,walking tour 4k,channel_search
UC3wDPgBmi8_z1z7ELA0UjHw,driving tour 4k,channel_search
UC3yhQQcy3t9O84czgREarOA,walking tour 4k,channel_search
UC4-EJAogWF5zHRqhXLCZqCg,driving tour 4k,channel_search
UC4-bS3ap6rTPoNRFpMGN1eQ,shopping mall walk,channel_search
UC401AphdGy9oAo-ESChJ39Q,shopping mall walk,channel_search
UC43TwAGjIOneiKp9Bc5Dh8w,walking tour 4k,channel_search
UC45j8MaVd7E-oXyxYCLDdgA,shopping mall walk,channel_search
UC47bCG3B1Tgxvm9CLBVl71A,driving tour 4k,channel_search
UC49_ZjC0UuyouRHHqN6nJ5A,shopping mall walk,channel_search
UC4A0i8sdz6dHg_0HH15knbw,bike tour 4k,channel_search
UC4BXzZGkkp3Gpz5ofrmOMCg,bike tour 4k,channel_search
UC4CSWtwcLBKHNIDS_57e5ZQ,shopping mall walk,channel_search
UC4G1bm2psBgsyOWheemMA3A,shopping mall walk,channel_search
UC4GRwAfG_ULUJ08SV_i5KjQ,driving tour 4k,channel_search
UC4HrcxT2kYuQuj2QTSbwiOg,shopping mall walk,channel_search
UC4NeFaJEHsOj2l8OuYb5RgQ,walking tour 4k,channel_search
UC4Oby_tw0Ax2aH_kdru8Ctw,bike tour 4k,channel_search
UC4VbO5UGp2rdoOOlrI2TuXA,walking tour 4k,channel_search
UC4W33dRWYPqeFrduvGgoVlA,shopping mall walk,channel_search
UC4Xh3TX7r9uvWY10pyyCQtA,shopping mall walk,channel_search
UC4aveSKuyVruMHc2KVxZtyg,driving tour 4k,channel_search
UC4jkYYWMIpRnZEaeDspT9fA,shopping mall walk,channel_search
UC4pRieisU2ysPWAP5k0q01A,walking tour 4k,channel_search
UC4r1WmwOyq3uEWwug-MjIng,city walk 4k,channel_search
UC4suIkfNc9YxhpUxoAL75yw,bike tour 4k,channel_search
UC4vFkGboA9_rSqf86dTSILQ,shopping mall walk,channel_search
UC510Lqr1wGJGgtM5KehAQTA,bike tour 4k,channel_search
UC51c-GdZGbQpDPa7vlE0eHQ,shopping mall walk,channel_search
UC55zoFhURL83iIhIBg3_FYw,walking tour 4k,channel_search
UC571_kbo5PpRYIv-ULUJWjQ,shopping mall walk,channel_search
UC577Ts4jpxhzxz1WY3Ezdug,driving tour 4k,channel_search
UC57hSrgx4_mp56Q7GS5zkRA,driving tour 4k,channel_search
UC59JmWWQfHUuvL4Oqev8hrg,bike tour 4k,channel_search
UC59UEQCQ6qc5j95czlQXZdw,driving tour 4k,channel_search
UC5CnR1H4pSp1ni6oM3LAVXA,shopping mall walk,channel_search
UC5Ec6SuFhIqRC2G_eLhekgw,driving tour 4k,channel_search
UC5GjfpCXKB4D3FkyZjHRySw,bike tour 4k,channel_search
UC5ISB0VMarXLOMRm2B8bN2g,driving tour 4k,channel_search
UC5JXATaLH_ckHRANVaAAFWg,bike tour 4k,channel_search
UC5M7NaILH_L1mqw2eIDl4mg,walking tour 4k,channel_search
